country_code,wave,wave_label,age_band,n,share
EL,6,"W6
2015",30-34,127,20.81967213114754
EL,6,"W6
2015",35-39,150,24.59016393442623
EL,6,"W6
2015",40-45,184,30.16393442622951
EL,8,"W8
2024",18-24,64,11.228070175438596
EL,8,"W8
2024",25-29,87,15.263157894736842
EL,8,"W8
2024",30-34,105,18.421052631578945
EL,8,"W8
2024",35-39,121,21.228070175438596
EL,8,"W8
2024",40-45,193,33.85964912280702
ES,1,"W1
1991",18-24,173,24.74964234620887
ES,1,"W1
1991",25-29,177,25.321888412017167
ES,1,"W1
1991",30-34,147,21.030042918454935
ES,1,"W1
1991",35-39,104,14.878397711015737
ES,1,"W1
1991",40-45,98,14.020028612303289
ES,2,"W2
1995",18-24,137,20.266272189349113
ES,2,"W2
1995",25-29,132,19.526627218934912
ES,2,"W2
1995",30-34,127,18.786982248520708
ES,2,"W2
1995",35-39,140,20.710059171597635
ES,2,"W2
1995",40-45,140,20.710059171597635
ES,3,"W3
2000",18-24,176,16.955684007707127
ES,3,"W3
2000",25-29,199,19.171483622350674
ES,3,"W3
2000",30-34,207,19.942196531791907
ES,3,"W3
2000",35-39,232,22.350674373795762
ES,3,"W3
2000",40-45,224,21.57996146435453
ES,4,"W4
2005",18-24,151,24.082934609250398
ES,4,"W4
2005",25-29,100,15.94896331738437
ES,4,"W4
2005",30-34,113,18.022328548644335
ES,4,"W4
2005",35-39,120,19.138755980861244
ES,4,"W4
2005",40-45,143,22.807017543859647
ES,5,"W5
2010",18-24,79,11.205673758865247
ES,5,"W5
2010",25-29,140,19.858156028368796
ES,5,"W5
2010",30-34,157,22.26950354609929
ES,5,"W5
2010",35-39,155,21.98581560283688
ES,5,"W5
2010",40-45,174,24.680851063829788
ES,6,"W6
2015",18-24,192,9.421000981354268
ES,6,"W6
2015",25-29,301,14.769381746810598
ES,6,"W6
2015",30-34,372,18.253189401373895
ES,6,"W6
2015",35-39,514,25.220804710500488
ES,6,"W6
2015",40-45,659,32.33562315996075
ES,8,"W8
2024",18-24,68,12.208258527827647
ES,8,"W8
2024",25-29,95,17.0556552962298
ES,8,"W8
2024",30-34,95,17.0556552962298
ES,8,"W8
2024",35-39,139,24.95511669658887
ES,8,"W8
2024",40-45,160,28.725314183123878
FI,2,"W2
1995",18-24,68,9.27694406548431
FI,2,"W2
1995",25-29,114,15.552523874488402
FI,2,"W2
1995",30-34,171,23.328785811732605
FI,2,"W2
1995",35-39,160,21.828103683492497
FI,2,"W2
1995",40-45,220,30.013642564802183
FI,3,"W3
2000",18-24,155,15.784114052953157
FI,3,"W3
2000",25-29,159,16.191446028513237
FI,3,"W3
2000",30-34,192,19.551934826883908
FI,3,"W3
2000",35-39,216,21.9959266802444
FI,3,"W3
2000",40-45,260,26.476578411405292
FI,4,"W4
2005",18-24,93,15.816326530612246
FI,4,"W4
2005",25-29,92,15.646258503401361
FI,4,"W4
2005",30-34,109,18.537414965986397
FI,4,"W4
2005",35-39,140,23.809523809523807
FI,4,"W4
2005",40-45,154,26.190476190476193
FI,5,"W5
2010",18-24,100,18.51851851851852
FI,5,"W5
2010",25-29,108,20
FI,5,"W5
2010",30-34,112,20.74074074074074
FI,5,"W5
2010",35-39,88,16.296296296296298
FI,5,"W5
2010",40-45,132,24.444444444444443
FI,6,"W6
2015",18-24,31,7.126436781609195
FI,6,"W6
2015",25-29,77,17.70114942528736
FI,6,"W6
2015",30-34,95,21.839080459770116
FI,6,"W6
2015",35-39,108,24.82758620689655
FI,6,"W6
2015",40-45,124,28.50574712643678
FI,8,"W8
2024",18-24,65,14.06926406926407
FI,8,"W8
2024",25-29,49,10.606060606060606
FI,8,"W8
2024",30-34,93,20.12987012987013
FI,8,"W8
2024",35-39,112,24.242424242424242
FI,8,"W8
2024",40-45,143,30.952380952380953
FR,1,"W1
1991",18-24,132,15.942028985507244
FR,1,"W1
1991",25-29,165,19.92753623188406
FR,1,"W1
1991",30-34,177,21.3768115942029
FR,1,"W1
1991",35-39,161,19.444444444444446
FR,1,"W1
1991",40-45,193,23.309178743961354
FR,2,"W2
1995",18-24,138,17.760617760617762
FR,2,"W2
1995",25-29,154,19.81981981981982
FR,2,"W2
1995",30-34,170,21.879021879021877
FR,2,"W2
1995",35-39,146,18.79021879021879
FR,2,"W2
1995",40-45,169,21.75032175032175
FR,3,"W3
2000",18-24,138,12.522686025408348
FR,3,"W3
2000",25-29,217,19.691470054446462
FR,3,"W3
2000",30-34,226,20.508166969147005
FR,3,"W3
2000",35-39,241,21.869328493647913
FR,3,"W3
2000",40-45,280,25.40834845735027
FR,4,"W4
2005",18-24,95,12.82051282051282
FR,4,"W4
2005",25-29,103,13.900134952766532
FR,4,"W4
2005",30-34,140,18.89338731443995
FR,4,"W4
2005",35-39,183,24.696356275303643
FR,4,"W4
2005",40-45,220,29.68960863697706
FR,5,"W5
2010",18-24,279,14.041268243583291
FR,5,"W5
2010",25-29,335,16.859587317564166
FR,5,"W5
2010",30-34,333,16.758933064921994
FR,5,"W5
2010",35-39,462,23.251132360342226
FR,5,"W5
2010",40-45,578,29.089079013588325
FR,6,"W6
2015",18-24,86,10.035005834305718
FR,6,"W6
2015",25-29,125,14.585764294049008
FR,6,"W6
2015",30-34,183,21.353558926487747
FR,6,"W6
2015",35-39,179,20.88681446907818
FR,6,"W6
2015",40-45,284,33.13885647607935
FR,8,"W8
2024",18-24,67,11.20401337792642
FR,8,"W8
2024",25-29,125,20.903010033444815
FR,8,"W8
2024",30-34,124,20.735785953177256
FR,8,"W8
2024",35-39,117,19.565217391304348
FR,8,"W8
2024",40-45,165,27.591973244147155
HR,4,"W4
2005",18-24,137,19.187675070028014
HR,4,"W4
2005",25-29,162,22.689075630252102
HR,4,"W4
2005",30-34,140,19.607843137254903
HR,4,"W4
2005",35-39,119,16.666666666666664
HR,4,"W4
2005",40-45,156,21.84873949579832
HR,5,"W5
2010",18-24,62,9.064327485380117
HR,5,"W5
2010",25-29,137,20.029239766081872
HR,5,"W5
2010",30-34,143,20.906432748538013
HR,5,"W5
2010",35-39,146,21.34502923976608
HR,5,"W5
2010",40-45,196,28.654970760233915
HR,6,"W6
2015",18-24,46,8.778625954198473
HR,6,"W6
2015",25-29,100,19.083969465648856
HR,6,"W6
2015",30-34,123,23.473282442748094
HR,6,"W6
2015",35-39,117,22.328244274809162
HR,6,"W6
2015",40-45,138,26.33587786259542
HR,8,"W8
2024",18-24,94,16.87612208258528
HR,8,"W8
2024",25-29,80,14.362657091561939
HR,8,"W8
2024",30-34,114,20.46678635547576
HR,8,"W8
2024",35-39,115,20.646319569120287
HR,8,"W8
2024",40-45,154,27.648114901256733
HU,3,"W3
2000",18-24,94,13.905325443786982
HU,3,"W3
2000",25-29,142,21.005917159763314
HU,3,"W3
2000",30-34,145,21.449704142011836
HU,3,"W3
2000",35-39,115,17.011834319526628
HU,3,"W3
2000",40-45,180,26.627218934911244
HU,4,"W4
2005",18-24,54,8.626198083067091
HU,4,"W4
2005",25-29,116,18.53035143769968
HU,4,"W4
2005",30-34,139,22.20447284345048
HU,4,"W4
2005",35-39,162,25.878594249201274
HU,4,"W4
2005",40-45,155,24.76038338658147
HU,5,"W5
2010",18-24,55,10.223048327137546
HU,5,"W5
2010",25-29,84,15.613382899628252
HU,5,"W5
2010",30-34,122,22.676579925650557
HU,5,"W5
2010",35-39,125,23.234200743494423
HU,5,"W5
2010",40-45,152,28.25278810408922
HU,6,"W6
2015",18-24,48,9.56175298804781
HU,6,"W6
2015",25-29,57,11.354581673306772
HU,6,"W6
2015",30-34,105,20.916334661354583
HU,6,"W6
2015",35-39,118,23.50597609561753
HU,6,"W6
2015",40-45,174,34.66135458167331
HU,8,"W8
2024",18-24,33,7.4324324324324325
HU,8,"W8
2024",25-29,83,18.693693693693696
HU,8,"W8
2024",30-34,89,20.045045045045047
